artist_uri,track_uri,track_name,track_pop,track_album,release_date,track_duration_ms,track_key,track_bpm,track_dance,track_energy,track_valence,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,artist_name,artist_pop,artist_genres,followers,artist_image,ranking,region,acquisition_date
spotify:artist:22wbnEMDvgVIAGdFeek6ET,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,29,Fireworks & Rollerblades,2024-04-05,180304,10,105.029,0.472,0.471,0.219,-5.692,0.0603,0.151,0,Benson Boone,85,['singer-songwriter pop'],2012218,https://i.scdn.co/image/ab6761610000e5ebb2ce21a89c09c00d80d8ca25,1,Global,2024-04-06
spotify:artist:0PCCGZ0wGLizHt2KZ7hhA2,spotify:track:2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,93,i like the way you kiss me,2024-03-19,142515,11,151.647,0.599,0.946,0.747,-4.263,0.0447,0.000938,0.0106,Artemas,79,[],371331,https://i.scdn.co/image/ab6761610000e5eb597f1c8c92c4a82734e3af43,2,Global,2024-04-06
spotify:artist:2FXC3k01G6Gw61bmprjgqS,spotify:track:0AjmK0Eai4zGrLaJwPvrDp,Too Sweet,78,Unreal Unearth: Unheard,2024-03-22,251424,10,117.038,0.741,0.62,0.934,-5.505,0.0412,0.0295,0.000809,Hozier,86,"['irish singer-songwriter', 'modern rock', 'pov: indie']",6728748,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a,3,Global,2024-04-06
spotify:artist:5p9HO3XC5P3BLxJs5Mtrhm,spotify:track:3qhlB30KknSejmIvZZLjOD,End of Beginning,98,DECIDE,2022-09-16,159246,2,159.982,0.689,0.454,0.912,-7.643,0.0584,0.0351,0.00259,Djo,81,"['pov: indie', 'psychedelic pop']",1177012,https://i.scdn.co/image/ab6761610000e5eb02fcc327683d53bea9583c69,4,Global,2024-04-06
spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),94,eternal sunshine,2024-03-08,228639,5,115.83,0.645,0.663,0.287,-8.305,0.0447,0.0657,3.18e-05,Ariana Grande,95,['pop'],95579857,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0,5,Global,2024-04-06
spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,spotify:track:2tudvzsrR56uom6smgOcSf,Like That,94,WE DON'T TRUST YOU,2024-03-22,267707,11,162.012,0.814,0.676,0.312,-4.67,0.231,0.00709,1.28e-05,Future,93,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",16460782,https://i.scdn.co/image/ab6761610000e5eb6ef89e23678018c6d8630825,6,Global,2024-04-06
spotify:artist:7CvTknweLr9feJtRGrpDBy,spotify:track:6XjDF6nds4DE2BBbagZol6,Gata Only,94,Gata Only,2024-02-02,222000,8,99.986,0.791,0.499,0.669,-8.472,0.0509,0.446,2.41e-05,FloyyMenor,77,['reggaeton chileno'],225138,https://i.scdn.co/image/ab6761610000e5eb46ea71e37507679bd8f8c659,7,Global,2024-04-06
spotify:artist:45dkTj5sMRSjrmBSBeiHym,spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,96,greedy,2023-09-15,131872,6,111.018,0.75,0.733,0.844,-3.18,0.0319,0.256,0,Tate McRae,85,['pop'],5092358,https://i.scdn.co/image/ab6761610000e5eb846308bf9bf7d3183958b3a6,8,Global,2024-04-06
spotify:artist:6vWDO969PvNqNYHIOW5v0m,spotify:track:7wLShogStyDeZvL0a6daN5,TEXAS HOLD 'EM,83,COWBOY CARTER,2024-03-29,233457,2,110.012,0.727,0.711,0.375,-6.549,0.078,0.582,0,Beyoncé,92,"['pop', 'r&b']",36973714,https://i.scdn.co/image/ab6761610000e5eb247f44069c0bd1781df2f785,9,Global,2024-04-06
spotify:artist:33qOK5uJ8AR2xuQQAhHump,spotify:track:17phhZDn6oGtzMe56NuWvj,Lose Control,93,I've Tried Everything But Therapy (Part 1),2023-09-15,210689,9,159.92,0.561,0.604,0.242,-4.409,0.0337,0.199,1.9e-05,Teddy Swims,82,[],1751963,https://i.scdn.co/image/ab6761610000e5ebf76e11a5f3c08955fecea690,10,Global,2024-04-06
spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,spotify:track:2mhdhTWqT8RhkTlN2yWZZi,7 Minute Drill,74,Might Delete Later,2024-04-05,212213,10,85.434,0.643,0.791,0.741,-5.106,0.237,0.0365,0,J. Cole,87,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",23112691,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc,11,Global,2024-04-06
spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv,spotify:track:3w0w2T288dec0mgeZZqoNN,CARNIVAL,96,VULTURES 1,2024-02-09,264324,1,148.144,0.594,0.811,0.311,-5.746,0.159,0.189,0,¥$,85,[],527192,https://i.scdn.co/image/ab6761610000e5ebf4e11052613eb67c380adaf8,12,Global,2024-04-06
spotify:artist:06HL4z0CvFAxyc27GXpf02,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,96,Lover,2019-08-23,178427,9,169.994,0.552,0.702,0.564,-5.707,0.157,0.117,2.06e-05,Taylor Swift,100,['pop'],106430450,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,13,Global,2024-04-06
spotify:artist:716NhGYqD1jl2wI1Qkgq36,spotify:track:2DbV9TSdeGr5FobCFDRzvq,"Natanael Cano: Bzrp Music Sessions, Vol. 59",70,"Natanael Cano: Bzrp Music Sessions, Vol. 59",2024-04-02,155210,1,166.737,0.474,0.72,0.715,-7.986,0.0676,0.0833,0,Bizarrap,84,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",14758431,https://i.scdn.co/image/ab6761610000e5eb14add0d3419426b84158b913,14,Global,2024-04-06
spotify:artist:36cgvBn0aadzOijnjjwqMN,spotify:track:1aKvZDoLGkNMxoRYgkckZG,Magnetic,88,SUPER REAL ME,2024-03-25,160688,6,131.067,0.797,0.668,0.69,-5.819,0.0687,0.257,0,ILLIT,73,[],397924,https://i.scdn.co/image/ab6761610000e5eb5884b5e3bdc71d42b62bfcfd,15,Global,2024-04-06
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,spotify:track:1VNWdmXSbaNrnWod10WIL0,"One Of The Girls (with JENNIE, Lily Rose Depp)",86,The Highlights (Deluxe),2024-02-09,244685,8,87.521,0.531,0.652,0.179,-6.249,0.0325,0.0524,1.39e-06,The Weeknd,95,"['canadian contemporary r&b', 'canadian pop', 'pop']",81435797,https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb,16,Global,2024-04-06
spotify:artist:2LRoIwlKmHjgvigdNGBHNo,spotify:track:7bywjHOc0wSjGGbj04XbVi,LUNA,94,FERXXOCALIPSIS,2023-12-01,196800,7,100.019,0.774,0.86,0.446,-2.888,0.13,0.131,0,Feid,91,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",10540855,https://i.scdn.co/image/ab6761610000e5eb9e7c05016af970bb9bf76cc1,17,Global,2024-04-06
spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,spotify:track:1yfKakY4rvI17lk20ekuRA,Crocodile Tearz,73,Might Delete Later,2024-04-05,229187,9,86.978,0.793,0.492,0.198,-8.583,0.0772,0.0527,0,J. Cole,87,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",23112691,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc,18,Global,2024-04-06
spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,spotify:track:0mflMxspEfB0VbI1kyLiAv,Stick Season,94,Stick Season,2022-10-14,182347,9,117.913,0.662,0.488,0.817,-6.894,0.0682,0.782,0,Noah Kahan,87,['pov: indie'],2565643,https://i.scdn.co/image/ab6761610000e5eb336ec53126239813d38ff588,19,Global,2024-04-06
spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,spotify:track:42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),92,UTOPIA,2023-07-28,191701,3,148.038,0.569,0.882,0.201,-2.777,0.06,0.0316,0,Travis Scott,94,"['hip hop', 'rap', 'slap house']",28367330,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,20,Global,2024-04-06
spotify:artist:0elWFr7TW8piilVRYJUe4P,spotify:track:5LhI8m7n8xlQmNe3b7Rwis,Madonna,90,Madonna,2024-03-08,187088,0,128.029,0.732,0.873,0.662,-5.965,0.0321,0.0449,0.000803,Natanael Cano,88,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",11801798,https://i.scdn.co/image/ab6761610000e5eb0819edd43096a2f0dde7cd44,21,Global,2024-04-06
spotify:artist:2uYWxilOVlUdk4oV9DvwqK,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,94,The Land Is Inhospitable and So Are We,2023-09-15,137773,9,113.95,0.504,0.308,0.121,-14.958,0.0321,0.868,0.135,Mitski,84,"['brooklyn indie', 'pov: indie']",7383822,https://i.scdn.co/image/ab6761610000e5eb4bdb3888818637acb71c4a13,22,Global,2024-04-06
spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,spotify:track:2w5BtuWXISpB6NM4xPoeiR,"Pricey (feat. Ari Lennox, Young Dro & Gucci Mane)",72,Might Delete Later,2024-04-05,295147,2,78.956,0.657,0.718,0.31,-6.88,0.344,0.158,0,J. Cole,87,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",23112691,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc,23,Global,2024-04-06
