artist_uri,track_uri,track_name,track_pop,track_album,release_date,track_duration_ms,track_key,track_bpm,track_dance,track_energy,track_valence,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,artist_name,artist_pop,artist_genres,followers,artist_image,ranking,region,acquisition_date
spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv,spotify:track:3w0w2T288dec0mgeZZqoNN,CARNIVAL,33,VULTURES 1,2024-02-09,264324,1,148.144,0.594,0.811,0.311,-5.746,0.159,0.189,0,¥$,65,[],313238,https://i.scdn.co/image/ab6761610000e5ebf4e11052613eb67c380adaf8,1,USA,2024-02-17
spotify:artist:6vWDO969PvNqNYHIOW5v0m,spotify:track:7AYmToZ5y67fBjq4RLFbuq,TEXAS HOLD 'EM,34,TEXAS HOLD 'EM,2024-02-10,235636,2,110.024,0.725,0.709,0.353,-6.514,0.072,0.588,0,Beyoncé,86,"['pop', 'r&b']",36234905,https://i.scdn.co/image/ab6761610000e5eb2b7962ada66cbea99dcb0caa,2,USA,2024-02-17
spotify:artist:22wbnEMDvgVIAGdFeek6ET,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,97,Beautiful Things,2024-01-18,180304,10,105.029,0.472,0.471,0.219,-5.692,0.0603,0.151,0,Benson Boone,80,['singer-songwriter pop'],1364740,https://i.scdn.co/image/ab6761610000e5ebb2ce21a89c09c00d80d8ca25,3,USA,2024-02-17
spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,spotify:track:0mflMxspEfB0VbI1kyLiAv,Stick Season,98,Stick Season,2022-10-14,182347,9,117.913,0.662,0.488,0.817,-6.894,0.0682,0.782,0,Noah Kahan,87,['pov: indie'],2275330,https://i.scdn.co/image/ab6761610000e5eb336ec53126239813d38ff588,4,USA,2024-02-17
spotify:artist:1URnnhqYAYcrqrcwql10ft,spotify:track:52eIcoLUM25zbQupAZYoFh,redrum,97,american dream,2024-01-12,270698,2,172.089,0.624,0.74,0.246,-8.445,0.0481,0.00529,0.000224,21 Savage,92,"['atl hip hop', 'hip hop', 'rap']",17094014,https://i.scdn.co/image/ab6761610000e5eba5e754a9c1fc7ad7ee01798b,5,USA,2024-02-17
spotify:artist:40ZNYROS4zLfyyBSs2PGe2,spotify:track:4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),94,Zach Bryan,2023-08-25,227196,0,77.639,0.429,0.453,0.155,-7.746,0.0459,0.554,2e-06,Zach Bryan,87,['classic oklahoma country'],3267888,https://i.scdn.co/image/ab6761610000e5eb4fd54df35bfcfa0fc9fc2da7,6,USA,2024-02-17
spotify:artist:2LIk90788K0zvyj2JJVwkJ,spotify:track:4xhsWYTOGcal8zt0J161CU,Lovin On Me,99,Lovin On Me,2023-11-10,138411,2,104.983,0.943,0.558,0.606,-4.911,0.0568,0.0026,2.19e-06,Jack Harlow,84,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",3557372,https://i.scdn.co/image/ab6761610000e5eb2aab40ce03f3fa86163f78bb,7,USA,2024-02-17
spotify:artist:08PvCOlef4xdOr20jFSTPd,spotify:track:6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,93,Never Lose Me,2023-11-30,125902,1,121.964,0.781,0.567,0.0743,-7.857,0.0969,0.0504,0,Flo Milli,76,['viral rap'],877094,https://i.scdn.co/image/ab6761610000e5eb2dd4342359c7b3aca2bca63c,8,USA,2024-02-17
spotify:artist:06HL4z0CvFAxyc27GXpf02,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,99,Lover,2019-08-23,178427,9,169.994,0.552,0.702,0.564,-5.707,0.157,0.117,2.06e-05,Taylor Swift,100,['pop'],101364010,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4,9,USA,2024-02-17
spotify:artist:3Me35AWHCGqW4sZ7bWWJt1,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,La Diabla,99,La Diabla,2023-11-30,172264,11,131.842,0.751,0.819,0.697,-4.372,0.0409,0.255,0,Xavi,86,['sad sierreno'],2316491,https://i.scdn.co/image/ab6761610000e5ebf25379218c13e6aef1f1793d,10,USA,2024-02-17
